full,abbr
"IEEE TRANSACTIONS ONMOLECULAR, BIOLOGICAL AND MULTI-SCALE COMMUNICATIONS",IEEE Trans. Mol. Biol. Multi-Scale Commun.
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE Trans. Multimedia
IEEE TRANSACTIONS ONMULTI-SCALE COMPUTING SYSTEMS,IEEE Trans. Multi-Scale Comput. Syst.
IEEE TRANSACTIONS ON NANOBIOSCIENCE,IEEE Trans. Nanobiosci.
IEEE TRANSACTIONS ON NANOTECHNOLOGY,IEEE Trans. Nanotechnol.
IEEE NANOTECHNOLOGY EXPRESS,IEEE Nanotechnol. Express
IEEE/ACM TRANSACTIONS ON NETWORKING,IEEE/ACM Trans. Netw.
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,IEEE Trans. Neural Netw. Learn. Syst.
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,IEEE Trans. Nucl. Sci.
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,IEEE Trans. Neural Syst. Rehabil. Eng.
IEEE JOURNAL OF OCEANIC ENGINEERING,IEEE J. Ocean. Eng.
IEEE JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING,IEEE J. Opt. Commun. Netw.
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,IEEE Trans. Parallel Distrib. Syst.
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE Trans. Pattern Anal. Mach. Intell.
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE Photon. Technol. Lett.
IEEE PHOTONICS JOURNAL,IEEE Photon. J.
IEEE JOURNAL OF PHOTOVOLTAICS,IEEE J. Photovolt.
IEEE TRANSACTIONS ON PLASMA SCIENCE,IEEE Trans. Plasma Sci.
IEEE TRANSACTIONS ON POWER DELIVERY,IEEE Trans. Power Del.
IEEE TRANSACTIONS ON POWER ELECTRONICS,IEEE Trans. Power Electron.
IEEE TRANSACTIONS ON POWER SYSTEMS,IEEE Trans. Power Syst.
IEEE JOURNAL OF PRODUCT SAFETY ENGINEERING,IEEE J. Product Safety Eng.
IEEE POWER AND ENERGY TECHNOLOGY SYSTEMS JOURNAL,IEEE Power Energy Technol. Syst. J.
IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,IEEE Trans. Prof. Commun.
IEEE JOURNAL OF QUANTUM ELECTRONICS,IEEE J. Quantum Electron.
IEEE RFIC JOURNAL,IEEE RFIC J.
IEEE RFID JOURNAL,IEEE RFID J.
IEEE TRANSACTIONS ON RELIABILITY,IEEE Trans. Rel.
IEEE TRANSACTIONS ON ROBOTICS,IEEE Trans. Robot.
IEEE TRANSACTIONS ON ROBOTICS AND AUTOMATION,IEEE Trans. Robot. Autom. 
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,IEEE J. Sel. Topics Appl. Earth Observ. Remote Sens.
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J. Sel. Areas Commun.
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,IEEE J. Sel. Topics Quantum Electron.
IEEE JOURNAL OF SELECTED TOPICS IN SIGNAL PROCESSING,IEEE J. Sel. Topics Signal Process.
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,IEEE Trans. Semicond. Manuf.
IEEE SENSORS JOURNAL,IEEE Sensors J.
IEEE TRANSACTIONS ON SIGNAL PROCESSING,IEEE Trans. Signal Process.
IEEE SIGNAL PROCESSING LETTERS,IEEE Signal Process. Lett.
IEEE TRANSACTIONS ON SMART GRID,IEEE Trans. Smart Grid
IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,IEEE Trans. Sustain. Energy
IEEE SYSTEMS JOURNAL,IEEE Syst. J.
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE Trans. Softw. Eng.
IEEE JOURNAL OF SOLID-STATE CIRCUITS,IEEE J. Solid-State Circuits
"IEEE TRANSACTIONS ON SYSTEMS,MAN, AND CYBERNETICS: SYSTEMS","IEEE Trans. Syst., Man, Cybern.,Syst."
IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE,IEEE J. Transl. Eng. Health Med.
IEEE TRANSLATION JOURNAL ON MAGNETICS IN JAPAN,IEEE Transl. J. Magn. Jpn.
IEEE JOURNAL ON TECHNOLOGY IN COMPUTER AIDED DESIGN,IEEE J. Technol. Computer Aided Des.
IEEE TRANSACTIONS ON TERAHERTZ SCIENCE AND TECHNOLOGY,IEEE Trans. THz Sci. Technol.
IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION,IEEE Trans. Transport. Electrific.
"IEEE TRANSACTIONS ON ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL","IEEE Trans. Ultrason., Ferroelectr., Freq. Control"
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,IEEE Trans. Veh. Technol.
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,IEEE Trans. Very Large Scale Integr. (VLSI) Syst.
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE Trans. Vis. Comput. Graphics
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE Trans. Wireless Commun.
PROCEEDINGS OF THE IEEE,Proc. IEEE
IEEE Aerospace and Electronics Systems Magazine,IEEE Aerosp. Electron. Syst. Mag.
IEEE Annals of the History of Computing,IEEE Ann. Hist. Comput.
IEEE Antennas and Propagation Magazine,IEEE Antennas Propag. Mag.
IEEE ASSP Magazine ,IEEE ASSP Mag.
IEEE Circuits and Systems Magazine,IEEE Circuits Syst. Mag.
IEEE Circuits and Devices Magazine,IEEE Circuits Devices Mag.
IEEE Communications Society Magazine ,IEEE Commun. Soc. Mag.
IEEE Communications Magazine ,IEEE Commun. Mag.
IEEE Computational Intelligence Magazine,IEEE Comput. Intell. Mag.
IEEE Computing in Science and Engineering Magazine,IEEE Comput. Sci. Eng.
IEEE Computer Applications in Power,IEEE Comput. Appl. Power
IEEE Computer Graphics and Applications Magazine,IEEE Comput. Graph. Appl. Mag.
IEEE Consumer Electronics Magazine,IEEE Consum. Electron. Mag.
IEEE Control Systems Magazine,IEEE Control Syst. Mag.
IEEE Design & Test,IEEE Des. Test.
IEEE Electrical Insulation Magazine,IEEE Elect. Insul. Mag.
IEEE Electomagnetic Compatibility Magazine,IEEE Electrmagn. Compat.
IEEE Electrification Magazine,IEEE Electrific. Mag.
IEEE ElectroTechnology Review,IEEE ElectroTechnol. Rev.
IEEE Engineering Management Review,IEEE Eng. Manag. Rev.
IEEE Geoscience and Remote Sensing Magazine,IEEE Geosci. Remote Sens. Mag.
IEEE Industrial Electronics Magazine,IEEE Ind. Electron. Mag.
IEEE Industry Applications Magazine,IEEE Ind. Appl. Mag.
IEEE Instrumentation and Measurement Magazine,IEEE Instrum. Meas. Mag.
IEEE Intelligent Systems ,IEEE Intell. Syst.
IEEE Intelligent Transportation Systems Magazine,IEEE Intell. Transp. Syst. Mag.
IEEE Internet Computing Magazine,IEEE Internet Comput.
IEEE IT Professional,IEEE IT Prof.
IEEE Microwave Magazine,IEEE Microw. Mag.
IEEE MultiMedia Magazine,IEEE Multimedia Mag.
IEEE Nanotechnology Magazine,IEEE Nanotechnol. Mag.
IEEE Network,IEEE Netw.
IEEE Personal Communications,IEEE Pers. Commun.
IEEE Power Electronics Magazine,IEEE Power Electron. Mag.
IEEE Power and Energy Magazine,IEEE Power Energy Mag.
IEEE Power Engineering Review,IEEE Power Eng. Rev.
IEEE Robotics and Automation Magazine,IEEE Robot. Autom. Mag.
IEEE Signal Processing Magazine ,IEEE Signal Process. Mag.
IEEE Solid-State Circuits Magazine,IEEE Solid State Circuits Mag.
IEEE Software,IEEE Softw.
IEEE Spectrum,IEEE Spectr.
"IEEE Systems, Man, and Cybernetics Magazine","IEEE Syst., Man, Cybern. Mag."
IEEE Technology and Society Magazine,IEEE Technol. Soc. Mag.
IEEE Vehicular Technology Magazine,IEEE Veh. Technol. Mag.
China Communications Magazine,China Commun.
Internet Computing,Internet Comput.
IEEE Computer Magazine,IEEE Computer
IEEE Concurrency,IEEE Concurrency
IEEE Expert,IEEE Expert
IEEE Micro Magazine,IEEE Micro
IEEE Potentials,IEEE Potentials
IEEE Pulse,IEEE Pulse
IEEE Security and Privacy,IEEE Security Privacy
